id,label_lb,description_lb,class_id,class_label_lb,ner_tag
Q91,Abraham Lincoln,US-amerikanesche Politiker,Q5,Mënsch,PER
Q157,François Hollande,franséische Politiker,Q5,Mënsch,PER
Q181,Jimmy Wales,US-amerikanesche Geschäftsmann a Wiki-Pionéier,Q5,Mënsch,PER
Q185,Larry Sanger,Matgrënner vu Wikipedia,Q5,Mënsch,PER
Q192,David Cameron,brittesche Politiker,Q5,Mënsch,PER
Q254,Wolfgang Amadeus Mozart,éisträichesche Komponist,Q5,Mënsch,PER
Q255,Ludwig van Beethoven,däitsche Komponist,Q5,Mënsch,PER
Q296,Claude Monet,franséische Moler,Q5,Mënsch,PER
Q297,Diego Velázquez,spuenesche Moler,Q5,Mënsch,PER
Q302,Jesus vun Nazaret,zentral Personnage vum Chrëschtentum,Q5,Mënsch,PER
Q303,Elvis Presley,US-amerikanesche Sänger a Schauspiller,Q5,Mënsch,PER
Q306,Sebastián Piñera,"chileeneschen Ekonomist, Geschäftsmann a Politiker",Q5,Mënsch,PER
Q307,Galileo Galilei,"italieenesche Mathematiker, Physiker an Astronom",Q5,Mënsch,PER
Q320,Michelle Bachelet,chileenesch Politikerin,Q5,Mënsch,PER
Q329,Nicolas Sarkozy,franséische Politiker,Q5,Mënsch,PER
Q352,Adolf Hitler,Staatschef a Regierungschef vum Däitsche Räich,Q5,Mënsch,PER
Q409,Bob Marley,"jamaikanesche Sänger, Museker a Liddermécher",Q5,Mënsch,PER
Q440,Salvador Allende,"chileeneschen Dokter, Politiker a President vum Chile",Q5,Mënsch,PER
Q444,Lech Wałęsa,polnesche Politiker,Q5,Mënsch,PER
Q448,Denis Diderot,"franséische Schrëftsteller, Philosoph an Enzyklopedist",Q5,Mënsch,PER
Q449,Georges Brassens,franséische Sänger,Q5,Mënsch,PER
Q489,Bill Maher,amerikanesche Komiker,Q5,Mënsch,PER
Q501,Charles Baudelaire,franséische Schrëftsteller,Q5,Mënsch,PER
Q502,Stendhal,franséische Schrëftsteller,Q5,Mënsch,PER
Q512,Wladimir Semjonowitsch Wyssozki,"russesche Sänger, Dichter, Gittarist a Schauspiller",Q5,Mënsch,PER
Q517,Napoléon Bonaparte,franséische Generol a Keeser,Q5,Mënsch,PER
Q535,Victor Hugo,franséische Politiker,Q5,Mënsch,PER
Q539,Giuseppe Garibaldi,italieenesche Politiker a Fräiheetskämpfer,Q5,Mënsch,PER
Q555,Rachel Maddow,amerikanesch Televisiounspresentatrice,Q5,Mënsch,PER
Q563,Brigitte Fontaine,franséisch Schauspillerin,Q5,Mënsch,PER
Q567,Angela Merkel,däitsch Politikerin,Q5,Mënsch,PER
Q590,Luís Vaz de Camões,portugiseschen Auteur,Q5,Mënsch,PER
Q600,Ichiro Suzuki,"Japanesch professionnelle Baseballspiller, MLB Spiller (1973-)",Q5,Mënsch,PER
Q607,Michael Bloomberg,amerikanesche Politiker,Q5,Mënsch,PER
Q609,Kateri Tekakwitha,amerikanesch Politikerin,Q5,Mënsch,PER
Q615,Lionel Messi,argentinesche Foussballspiller,Q5,Mënsch,PER
Q619,Nikolaus Kopernikus,"Dokter, Mathematiker, Jurist an Astronom",Q5,Mënsch,PER
Q624,Alessandro Del Piero,italieenesche Foussballspiller,Q5,Mënsch,PER
Q636,Kate Bush,"englesche Sänger, Pianist a Songwriter (gebuer 1958)",Q5,Mënsch,PER
Q675,André-Marie Ampère,franséische Mathematiker a Physiker,Q5,Mënsch,PER
Q680,Alessandro Volta,italieenesche Physiker,Q5,Mënsch,PER
Q742,Jean Racine,franséischen Theaterschrëftsteller,Q5,Mënsch,PER
